Do you think Heads Up Display is useful?,Why do you think it is useful or why you don't like it?,Which features you have in your current vehicle(s)?,"Where would you prefer the projector to be?
A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,
B: The projector and the screen are integrated and seat at the top of the dashboard.","If there is a HUD device that also includes the top 4 features you selected above, what is your maximum acceptable price? (Price in USD, before tax)","If you would purchase the product from the previous question, would you rather:",one-part-machine vs add-on,"If you want new features on your car, what would you do?","Some features may need extra wiring throughout the car, how much extra would you like to pay to make them wireless.","If the product were priced according to your expectations and can be purchased through your desired channel,  how likely would you be to purchase the Heads UP Display (HUD)?",What is the model and year of your car?,Which city do you live in?,Which of the following best describes where you live?,What is your gender?,May I have your age range?,What is your field of occupation?,"If you don't mind, what is your annual income range?","How long do you spend on driving every day, pre-COVID-19?",A,B,C,D,E,F,G,H,I,J,Heads Up Display,Dashcam,Backup Camera,360° Backup Camera,Forward Collision Warning System,Voice Recognition,CarPlay/Android Auto,Blind Spot Check,Steering Wheel Controller,"No, I have no interest",Amazon/eBay,Canadian Tire,Costco,Bestbuy,Walmart/Target,Mr. Lube,Others(Q9),I use my car for routine transportation,I use my car to pick up/drop off my kid(s),"I like to drive around and explore new areas (e.g., restaurants)",I often use my car to go on road trips,My car is for professional use (I drive Uber or Lyft),Others(Q19)
Yes,It’s useful becasue you don’t have to move your eyes away from the road to see the information being displayed,None,A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 100 - USD $ 199,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,I'm fine if it is not messy,I would definitely purchase the HUD,2013 Mazda 3 GS,Oakville,I live in a suburb area,Female,younger than 20 years old,Student,"Less than $20,000",Less than 30 minutes per day,40,40,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0
Yes,I like it because its digital it gives me a heads up when I’m over speeding.,"""Built-in Navigation"",""Heads Up Display"",""Backup Camera"",""360° Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 200 - USD $ 299,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I have all features on my current car,Above $ 100 USD,I would probably purchase the HUD,2020 BMW X4,MISSISSAUGA,I live in a suburb area,Female,20 - 25 years old,Student,None,Less than 30 minutes per day,25,25,0,0,25,0,0,0,25,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
Yes,"Don’t have to look down, so keep eye on the actual roads while getting extra information","""Built-in Navigation"",""Heads Up Display"",""Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""CarPlay/Android Auto"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,"No, I wouldn't buy it",Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I will try to get and install new features as add-ons from dealerships,Under $ 25 USD,I might or might not purchase the HUD,2019 JCW clubman,Waterloo,I live in a downtown area,Male,20 - 25 years old,Student,Prefer not to say,1 hour - 2 hours per day,40,10,0,0,20,0,0,20,10,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
Yes,Allows you to know what speed you’re going/song you’re listening to without taking your eyes off the road,"""Built-in Navigation"",""Backup Camera"",""CarPlay/Android Auto"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 200 - USD $ 299,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,Under $ 25 USD,I would probably purchase the HUD,2004 BMW 325i,"Vaughan, Ontario",I live in a suburb area,Male,younger than 20 years old,Business Management and Administration,"Less than $20,000",1 hour - 2 hours per day,0,20,0,0,30,0,0,30,0,20,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0
Yes,You can check the speed or other information a lot quicker. It makes driving easier since it’s now easier to check what speed I’m going. this depends on what info is displayed tho.,"""Built-in Navigation"",""Heads Up Display"",""Backup Camera"",""360° Backup Camera"",""Forward Collision Warning System"",""Voice Recognition"",""Blind Spot Check"",""Steering Wheel Controller""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 500 - USD $ 599,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I can buy aftermarket product and install it all by myself,I'm fine if it is not messy,I might or might not purchase the HUD,2016 BMW 535,Milton,I live in a suburb area,Male,20 - 25 years old,"Science, Technology, Engineering and Mathematics","$40,000 to $59,999",30 minutes - 59 minutes per day,20,0,0,30,0,0,0,10,0,40,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
Maybe,"Possible useful for navigation, otherwise i don't see any benefit",None,A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 100 - USD $ 199,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I will buy a new car with the features I want,$ 25 - $ 49 USD,I would probably not purchase the HUD,2002 Saturn,Waterloo,I live in a suburb area,Male,20 - 25 years old,Student,"$40,000 to $59,999",1 hour - 2 hours per day,60,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
Yes,I thinks it is useful since it allow to see vital driving information w/o having to glance down away from the road.,"""Backup Camera"",""Forward Collision Warning System"",""CarPlay/Android Auto"",""Blind Spot Check""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 700 - USD $ 799,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I will try to get and install new features as add-ons from dealerships,$ 50 - $ 74 USD,I would probably not purchase the HUD,2019 Rav4,Lompoc,I live in a suburb area,Male,26 -  30 years old,"Marketing, Sales and Service",Prefer not to say,Less than 30 minutes per day,0,0,10,35,0,25,0,0,30,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
Maybe,"Depends on the car's dashboard layout. In cars with a dashboard in the center of the car (Tesla Model 3, older gen Nissan X-trail) it would be very useful. The current integration of HUDs seems problematic (glare issues, hard to see through, can't disable, etc.). For my car I would not use one because of how my dashboard is laid out (Civic 2014). Overall I think it is useful so long as it allows the user to choose display elements and is visible in sunlight","""Built-in Navigation"",""Dashcam"",""Backup Camera"",""Voice Recognition"",""Blind Spot Check""",B: The projector and the screen are integrated and seat at the top of the dashboard.,USD $ 100 - USD $ 199,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,"I don't want any new features, cars should be kept simple",I don't care about wiring,I might or might not purchase the HUD,2014 Honda Civic,Waterloo,I live in a suburb area,Male,20 - 25 years old,Manufacturing,Prefer not to say,30 minutes - 59 minutes per day,20,50,0,0,0,0,0,10,0,20,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
Yes,None,None,A: The projector locates behind the rearview mirror and is projecting onto a screen on top of the dashboard,USD $ 100 - USD $ 199,Buy a slightly costlier all-in-one product. (You might pay for features you don't want/already have),1,I will buy a new car with the features I want,$ 25 - $ 49 USD,I would probably not purchase the HUD,2011 Honda civic,Waterloo,I live in a downtown area,Female,20 - 25 years old,Student,Prefer not to say,Less than 30 minutes per day,0,0,30,0,30,0,0,10,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
Yes,easier to see the dashboard,"""Dashcam""",B: The projector and the screen are integrated and seat at the top of the dashboard.,Less than USD $ 100,Buy a slightly cheaper base machine (HUD only) with only 1-2 features. (You can choose to purchase additional features as add-ons),0,I will buy a new car with the features I want,I'm fine if it is not messy,I would probably not purchase the HUD,honda 2009,toronto,I live in a suburb area,Male,20 - 25 years old,Information Techonology,"Over $100,000",Less than 30 minutes per day,15,50,25,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
